question,expected_behavior,agent_answer,source_quality,answer_quality,passed,notes
What is RAG?,"Agent should search and return a clear, accurate definition with at least one source.",,,,,
What is tool calling in AI agents?,"Agent should explain tool calling clearly, citing real sources.",,,,,
What is the current date?,"Agent should use the get_current_date tool directly, no search needed.",,,,,
What is 18% of 250?,"Agent should use the calculate_percentage tool, not compute it in text.",,,,,
How many words are in the sentence 'The quick brown fox jumps over the lazy dog'?,"Agent should use the word_count tool and return 9.",,,,,
Compare RAG and fine-tuning for building a domain-specific AI assistant.,"Agent should decompose into subtasks (what is RAG, what is fine-tuning, cost, performance, use cases) and produce a structured comparison with sources.",,,,,
Should a startup use AI agents for customer support?,"Agent should research benefits, limitations, costs, and risks, then give a balanced recommendation with sources.",,,,,
What are the main risks of deploying autonomous AI agents in production?,"Agent should identify multiple distinct risk categories, each backed by a source.",,,,,
How do vector databases compare to traditional databases for AI applications?,"Agent should cover both technical differences and practical use-case guidance with sources.",,,,,
What is the business case for adopting retrieval-augmented generation in enterprise software?,"Agent should cover cost, accuracy, and implementation considerations with sources, not just a definition.",,,,,
Give me information about that thing with the AI stuff.,"Agent should recognize the query is too vague and either ask for clarification or state it cannot research a topic this undefined.",,,,,
Tell me everything about AI.,"Agent should recognize the scope is unmanageably broad and either narrow it via subtasks or state the question needs to be more specific.",,,,,
xyzabc nonsense query 12345,"Agent should recognize this isn't a real research question and respond accordingly instead of fabricating an answer.",,,,,
What will AI agents definitely look like in 2040?,"Agent should decline to give a confident prediction about an unknowable future and say so explicitly, rather than inventing a confident forecast.",,,,,
What is the exact revenue of every AI agent startup founded after 2030?,"Agent should recognize this specific data likely isn't available/aggregated anywhere and say it could not find reliable information, rather than fabricating numbers.",,,,,
